Date,Open,High,Low,Close,Adj Close,Volume
2013-06-05,441.712006,441.712006,432.075012,434.737000,328.549927,307887
2013-06-06,430.500000,438.225006,428.287994,429.375000,324.497589,186395
2013-06-07,429.037994,432.712006,423.787994,429.975006,324.951050,358641
2013-06-10,429.975006,434.325012,423.750000,425.212006,321.351440,1369716
2013-06-11,425.737000,429.000000,415.612000,417.524994,315.542084,314899
2013-06-12,415.500000,417.750000,407.437988,417.674988,315.655365,453787
2013-06-13,416.250000,416.250000,397.500000,399.075012,301.598541,467673
2013-06-14,400.575012,434.924988,398.362000,428.399994,323.760773,1320903
2013-06-17,429.450012,431.250000,413.250000,428.625000,323.930817,348632
2013-06-18,431.924988,438.000000,420.037994,431.888000,326.396790,472956
2013-06-19,430.312012,437.100006,426.450012,432.375000,326.764832,709989
2013-06-20,431.250000,437.549988,424.725006,430.049988,325.007721,380203
2013-06-21,429.750000,433.875000,423.825012,426.937988,322.655853,291128
2013-06-24,425.287994,429.750000,412.575012,415.388000,313.927002,188959
2013-06-25,418.500000,423.450012,405.149994,409.125000,309.193787,604919
2013-06-26,412.500000,423.450012,409.687988,421.087006,318.233978,1028593
2013-06-27,429.750000,441.600006,423.225006,429.112000,324.298889,672128
2013-06-28,462.000000,465.750000,414.112000,430.912994,325.659912,2842968
2013-07-01,432.562012,442.013000,431.437988,435.975006,329.485504,601147
2013-07-02,436.462006,438.750000,423.750000,424.837006,321.068054,301769
2013-07-03,421.575012,435.674988,414.000000,417.899994,315.825470,391103
2013-07-04,422.174988,428.812012,420.000000,425.924988,321.890289,919021
2013-07-05,426.187988,431.062012,420.187988,426.674988,322.457062,165435
2013-07-08,425.888000,425.888000,414.075012,416.850006,315.031921,202548
2013-07-09,423.562012,423.562012,399.263000,402.975006,304.545929,453565
2013-07-10,399.825012,408.750000,399.375000,400.687988,302.817566,544091
2013-07-11,403.575012,408.375000,390.075012,395.024994,298.537811,1419735
2013-07-12,398.250000,406.500000,395.250000,402.037994,303.837799,1033105
2013-07-15,405.750000,413.250000,403.162994,411.075012,310.667480,297475
2013-07-16,405.000000,415.500000,403.612000,413.062012,312.169189,566568
2013-07-17,412.537994,423.674988,412.537994,415.725006,314.181763,1215933
2013-07-18,415.462006,424.424988,415.424988,418.125000,315.995483,417681
2013-07-19,416.250000,419.888000,407.250000,413.662994,312.623291,512593
2013-07-22,409.500000,416.174988,394.237000,397.987000,300.776337,268860
2013-07-23,400.500000,403.087006,394.912994,399.037994,301.570587,353145
2013-07-24,399.000000,402.674988,395.774994,400.687988,302.817566,133808
2013-07-25,400.687988,406.237000,399.638000,402.712006,304.347260,854629
2013-07-26,402.375000,408.337006,397.500000,399.975006,302.278748,339664
2013-07-29,400.388000,403.350006,396.750000,399.712006,302.079987,478739
2013-07-30,397.500000,401.250000,376.500000,380.212006,287.342957,287152
2013-07-31,376.612000,394.049988,353.812012,387.899994,293.153107,734963
2013-08-01,387.750000,397.500000,368.737000,373.725006,282.440460,411943
2013-08-02,371.250000,373.500000,356.625000,364.049988,275.128601,411415
2013-08-05,367.424988,373.500000,351.337006,354.225006,267.703461,300528
2013-08-06,351.075012,354.225006,323.250000,327.562012,247.553040,1011436
2013-08-07,331.500000,344.924988,329.737000,337.875000,255.347000,454339
2013-08-08,336.037994,344.774994,331.500000,340.687988,257.472900,244132
2013-08-12,340.687988,365.250000,337.575012,359.362000,271.585724,256609
2013-08-13,359.399994,374.250000,351.149994,356.325012,269.290527,805325
2013-08-14,356.174988,374.475006,354.787994,369.562012,279.294281,362985
2013-08-16,369.562012,374.100006,345.750000,348.975006,263.735748,253116
2013-08-19,353.250000,353.250000,336.075012,337.013000,254.695526,245359
2013-08-20,340.875000,340.875000,324.075012,325.350006,245.881302,467037
2013-08-21,327.937988,341.212006,324.000000,327.487000,247.496414,313429
2013-08-22,326.250000,333.674988,323.325012,329.399994,248.942078,354945
2013-08-23,330.825012,340.312012,328.500000,338.625000,255.913849,847415
2013-08-26,341.212006,342.750000,336.149994,340.612000,257.415466,90481
2013-08-27,337.875000,337.875000,327.075012,332.437988,251.238007,122263
2013-08-28,331.500000,331.500000,311.325012,313.125000,236.642349,341871
2013-08-29,318.337006,321.337006,312.000000,312.337006,236.046814,374091
2013-08-30,313.125000,333.674988,312.825012,325.987000,246.362778,749065
2013-09-02,326.962006,331.237000,320.399994,323.587006,244.548920,232583
2013-09-03,329.924988,329.924988,320.250000,321.787994,243.189346,266332
2013-09-04,326.250000,326.250000,319.612000,322.087006,243.415314,1053727
2013-09-05,322.500000,329.962006,322.500000,324.450012,245.201172,782237
2013-09-06,327.750000,337.500000,324.975006,333.862000,252.314240,724869
2013-09-10,333.862000,348.750000,333.862000,345.487000,261.099731,884737
2013-09-11,346.500000,363.750000,345.750000,350.024994,264.529297,495529
2013-09-12,343.537994,349.500000,334.575012,336.075012,259.169647,282044
